"datasetTitle"	"datasetKey"	"datasetType"	"hasEndpoints"	"numOccurrences"	"numNameUsages"	"installationKey"	"installationType"	"organisationKey"	"organisationTitle"	"participantTitle"	"countryOfParticipant"	"gbifRegistrationDate"	"mostRecentCrawlEndpointType"	"mostRecentCrawlEndpointUri"	"mostRecentCrawlDate"	"mostRecentCrawlStatus"	"orphaned?(YES/NO)"
"Potential indicator species of climate changes occurring in Québec, Part 1: the small brown lacewing fly Micromus posticus (Walker) (Neuroptera: Hemerobiidae)"	"8260db39-8776-4ad6-bd80-46e4e1168bf7"	"CHECKLIST"	"true"	"29"	"3"	"d5b61ace-f25c-43bd-9dd0-03486850f90b"	"HTTP_INSTALLATION"	"750a8724-fa66-4c27-b645-bd58ac5ee010"	"Biodiversity Data Journal"		"unknown or invalid"	"2014-05-08"	"DWC_ARCHIVE"	"http://pensoft.net/dwc/bdj/checklist_970.zip"	"2017-05-29"	"ABORT"	"YES"
"Towards the conservation of parasitoid wasp species in Canada: Preliminary assessment of Microgastrinae (Hymenoptera: Braconidae)"	"0c5beccc-2e5d-4095-9a6a-92095ecd09d2"	"CHECKLIST"	"true"	"51"	"35"	"d5b61ace-f25c-43bd-9dd0-03486850f90b"	"HTTP_INSTALLATION"	"750a8724-fa66-4c27-b645-bd58ac5ee010"	"Biodiversity Data Journal"		"unknown or invalid"	"2014-05-08"	"DWC_ARCHIVE"	"http://pensoft.net/dwc/bdj/checklist_1067.zip"	"2017-05-29"	"ABORT"	"YES"
"Review of the genus Namadytes Hesse, 1969 (Insecta: Diptera: Mydidae: Syllegomydinae)"	"651c1377-8d3d-401f-a09d-03b834a989fb"	"CHECKLIST"	"true"	"69"	"9"	"d5b61ace-f25c-43bd-9dd0-03486850f90b"	"HTTP_INSTALLATION"	"750a8724-fa66-4c27-b645-bd58ac5ee010"	"Biodiversity Data Journal"		"unknown or invalid"	"2014-05-08"	"DWC_ARCHIVE"	"http://pensoft.net/dwc/bdj/checklist_1071.zip"	"2017-05-29"	"ABORT"	"YES"
"New records of Paraleptophlebia werneri Ulmer, 1920 and P. strandii (Eaton, 1901) from Finland (Ephemeroptera, Leptophlebiidae)"	"9fdb7f3f-f307-4e0c-ad70-4a7fa9015388"	"CHECKLIST"	"true"	"5"	"4"	"d5b61ace-f25c-43bd-9dd0-03486850f90b"	"HTTP_INSTALLATION"	"750a8724-fa66-4c27-b645-bd58ac5ee010"	"Biodiversity Data Journal"		"unknown or invalid"	"2014-05-08"	"DWC_ARCHIVE"	"http://pensoft.net/dwc/bdj/checklist_969.zip"	"2017-05-29"	"ABORT"	"YES"
"Faunistic diversity of spiders (Araneae) in Galichitsa mountain (FYR Macedonia)"	"0eef4aa0-c618-4f61-9844-1824ce24d29a"	"CHECKLIST"	"true"	"167"	"440"	"d5b61ace-f25c-43bd-9dd0-03486850f90b"	"HTTP_INSTALLATION"	"750a8724-fa66-4c27-b645-bd58ac5ee010"	"Biodiversity Data Journal"		"unknown or invalid"	"2014-05-08"	"DWC_ARCHIVE"	"http://pensoft.net/dwc/bdj/checklist_977.zip"	"2017-05-29"	"ABORT"	"YES"
"DNA barcoding reveals a new record of Potamogeton distinctus (Potamogetonaceae) and its natural hybrids, P. distinctus × P. nodosus and P. distinctus × P. wrightii (P. ×malainoides) from Myanmar"	"af26be01-b563-49a2-b71e-8adac2b83560"	"CHECKLIST"	"true"	"2"	"3"	"d5b61ace-f25c-43bd-9dd0-03486850f90b"	"HTTP_INSTALLATION"	"750a8724-fa66-4c27-b645-bd58ac5ee010"	"Biodiversity Data Journal"		"unknown or invalid"	"2014-05-08"	"DWC_ARCHIVE"	"http://pensoft.net/dwc/bdj/checklist_1073.zip"	"2017-05-29"	"ABORT"	"YES"
"A new species of Tychobythinus Ganglbauer, 1896 (Coleoptera: Staphylinidae: Pselaphinae) from Turkey"	"b3e96cd3-bb16-49d9-b49e-0c30c49f156d"	"CHECKLIST"	"true"	"4"	"3"	"d5b61ace-f25c-43bd-9dd0-03486850f90b"	"HTTP_INSTALLATION"	"750a8724-fa66-4c27-b645-bd58ac5ee010"	"Biodiversity Data Journal"		"unknown or invalid"	"2014-05-08"	"DWC_ARCHIVE"	"http://pensoft.net/dwc/bdj/checklist_963.zip"	"2017-05-29"	"ABORT"	"YES"
"A new species of Lygistorrhina Skuse (Diptera: Sciaroidea: Lygistorrhinidae) from South Africa"	"d29a09f7-a402-4664-821c-fa0adf825dcf"	"CHECKLIST"	"true"	"3"	"3"	"d5b61ace-f25c-43bd-9dd0-03486850f90b"	"HTTP_INSTALLATION"	"750a8724-fa66-4c27-b645-bd58ac5ee010"	"Biodiversity Data Journal"		"unknown or invalid"	"2014-05-08"	"DWC_ARCHIVE"	"http://pensoft.net/dwc/bdj/checklist_962.zip"	"2017-05-29"	"ABORT"	"YES"
"Scutellista caerulea (Fonscolombe, 1832) (Hymenoptera: Pteromalidae), new to New Zealand for the second time!"	"f20127d1-663b-4a06-9c68-dc11c5af307e"	"CHECKLIST"	"true"	"1"	"3"	"d5b61ace-f25c-43bd-9dd0-03486850f90b"	"HTTP_INSTALLATION"	"750a8724-fa66-4c27-b645-bd58ac5ee010"	"Biodiversity Data Journal"		"unknown or invalid"	"2014-05-08"	"DWC_ARCHIVE"	"http://pensoft.net/dwc/bdj/checklist_959.zip"	"2017-05-29"	"ABORT"	"YES"
"A second update to the checklist of Finnish long-legged flies (Diptera: Dolichopodidae), with a re-evaluation of the status of Hydrophorus callosoma Frey, 1915"	"d30a4943-1366-49eb-b781-9429528d5929"	"CHECKLIST"	"true"	"121"	"35"	"d5b61ace-f25c-43bd-9dd0-03486850f90b"	"HTTP_INSTALLATION"	"750a8724-fa66-4c27-b645-bd58ac5ee010"	"Biodiversity Data Journal"		"unknown or invalid"	"2014-05-08"	"DWC_ARCHIVE"	"http://pensoft.net/dwc/bdj/checklist_976.zip"	"2017-05-29"	"ABORT"	"YES"
