"datasetTitle"	"datasetKey"	"datasetType"	"hasEndpoints"	"numOccurrences"	"numNameUsages"	"installationKey"	"installationType"	"organisationKey"	"organisationTitle"	"participantTitle"	"countryOfParticipant"	"gbifRegistrationDate"	"mostRecentCrawlEndpointType"	"mostRecentCrawlEndpointUri"	"mostRecentCrawlDate"	"mostRecentCrawlStatus"	"potentialFalsePositive?(YES/NO)"	"orphaned?(YES/NO)"
"Diatom and foraminiferal samples from surficial sediments of Prydz Bay, Antarctica"	"96aa3736-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"897"	"0"	"5ffda196-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"3693ff90-4c16-11d8-b290-b8a03c50a862"	"Australian Antarctic Data Centre"	"Australia"	"Australia"	"2009-06-09"	"DIGIR"	"http://data.aad.gov.au/digir/digir.php"	"2017-06-09"	"ABORT"	"FALSE"	"YES"
"Fish catch from 1996/97 Voyage 2 WASTE (WOCE Antarctic Southern Transect Expedition)"	"96a2b704-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"465"	"0"	"5ffda196-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"3693ff90-4c16-11d8-b290-b8a03c50a862"	"Australian Antarctic Data Centre"	"Australia"	"Australia"	"2009-06-09"	"DIGIR"	"http://data.aad.gov.au/digir/digir.php"	"2017-06-09"	"ABORT"	"FALSE"	"YES"
"Spring Phytoplankton Assemblages in the Southern Ocean Between Australia and Antarctica (CLIVAR-SR3)"	"96a4053c-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"829"	"0"	"5ffda196-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"3693ff90-4c16-11d8-b290-b8a03c50a862"	"Australian Antarctic Data Centre"	"Australia"	"Australia"	"2009-06-09"	"DIGIR"	"http://data.aad.gov.au/digir/digir.php"	"2017-06-09"	"ABORT"	"FALSE"	"YES"
"Southern Giant Petrel census data within the Australian Antarctic Territory."	"96a5456e-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"121"	"0"	"5ffda196-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"3693ff90-4c16-11d8-b290-b8a03c50a862"	"Australian Antarctic Data Centre"	"Australia"	"Australia"	"2009-06-09"	"DIGIR"	"http://data.aad.gov.au/digir/digir.php"	"2017-06-09"	"ABORT"	"FALSE"	"YES"
"King penguin census data, Gadget Gully, Macquarie Island (1993-2008)"	"96a682ee-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"607"	"0"	"5ffda196-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"3693ff90-4c16-11d8-b290-b8a03c50a862"	"Australian Antarctic Data Centre"	"Australia"	"Australia"	"2009-06-09"	"DIGIR"	"http://data.aad.gov.au/digir/digir.php"	"2017-06-09"	"ABORT"	"FALSE"	"YES"
"Snow Petrel nest census, Mawson region 2004/05"	"96a7c276-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"5588"	"0"	"5ffda196-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"3693ff90-4c16-11d8-b290-b8a03c50a862"	"Australian Antarctic Data Centre"	"Australia"	"Australia"	"2009-06-09"	"DIGIR"	"http://data.aad.gov.au/digir/digir.php"	"2017-06-09"	"ABORT"	"FALSE"	"YES"
"Diatoms from SAZ Sediment traps"	"96a90488-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"306"	"0"	"5ffda196-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"3693ff90-4c16-11d8-b290-b8a03c50a862"	"Australian Antarctic Data Centre"	"Australia"	"Australia"	"2009-06-09"	"DIGIR"	"http://data.aad.gov.au/digir/digir.php"	"2017-06-09"	"ABORT"	"FALSE"	"YES"
"Hydroids of the BANZARE Antarctic expeditions 1929 - 1931"	"969e8a30-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"30"	"0"	"5ffda196-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"3693ff90-4c16-11d8-b290-b8a03c50a862"	"Australian Antarctic Data Centre"	"Australia"	"Australia"	"2009-06-09"	"DIGIR"	"http://data.aad.gov.au/digir/digir.php"	"2017-06-09"	"ABORT"	"FALSE"	"YES"
"Royal penguin Eudyptes schlegeli census and observations at North Head, Macquarie Island 1952/53"	"969feb14-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"156"	"0"	"5ffda196-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"3693ff90-4c16-11d8-b290-b8a03c50a862"	"Australian Antarctic Data Centre"	"Australia"	"Australia"	"2009-06-09"	"DIGIR"	"http://data.aad.gov.au/digir/digir.php"	"2017-06-09"	"ABORT"	"FALSE"	"YES"
"Type Localities for organisms and fossils first described from Antarctica"	"96a14e46-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"312"	"0"	"5ffda196-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"3693ff90-4c16-11d8-b290-b8a03c50a862"	"Australian Antarctic Data Centre"	"Australia"	"Australia"	"2009-06-09"	"DIGIR"	"http://data.aad.gov.au/digir/digir.php"	"2017-06-09"	"ABORT"	"FALSE"	"YES"
