"datasetTitle"	"datasetKey"	"datasetType"	"hasEndpoints"	"numOccurrences"	"numNameUsages"	"installationKey"	"installationType"	"organisationKey"	"organisationTitle"	"participantTitle"	"countryOfParticipant"	"gbifRegistrationDate"	"mostRecentCrawlEndpointType"	"mostRecentCrawlEndpointUri"	"mostRecentCrawlDate"	"mostRecentCrawlStatus"	"potentialFalsePositive?(YES/NO)"	"orphaned?(YES/NO)"
"Naturhistorisches Museum Mainz, Herbarium von Ruprecht Düll"	"e88fdc62-ea3b-41a3-8967-b3780f602c0b"	"OCCURRENCE"	"true"	"7626"	"0"	"60454014-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"33aecde5-7e13-4272-9cb7-f4f3b0eb820c"	"Naturhistorisches Museum Mainz"	"Germany"	"Germany"	"2014-11-14"	"BIOCASE"	"http://ww3.bgbm.org/biocase/pywrapper.cgi?dsa=NaturkundemuseumMainz3"	"2016-01-19"	"NORMAL"	"TRUE"	"YES"
"ArtenFinder"	"aa6c5ee6-d4d7-4a65-a04f-379cffbf4842"	"OCCURRENCE"	"true"	"264743"	"0"	"603790d6-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"84a50274-bfbe-49aa-af23-29c3703126f9"	"POLLICHIA – Verein für Naturforschung und Landespflege e.V."	"Germany"	"Germany"	"2014-10-01"	"BIOCASE"	"http://biocase.naturkundemuseum-berlin.de/current/pywrapper.cgi?dsa=artenfinder"	"2016-03-17"	"NORMAL"	"TRUE"	"YES"
"Culture Collection of Algae"	"482b6e73-5135-4bba-8be7-9c12460130c0"	"OCCURRENCE"	"true"	"1614"	"0"	"60454014-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"d56e8c85-80eb-4358-adf4-34472a9718f9"	"Botanisches Institut, Universität zu Köln"	"Germany"	"Germany"	"2014-07-30"	"BIOCASE"	"http://ww3.bgbm.org/biocase/pywrapper.cgi?dsa=CCAC"	"2016-03-23"	"NORMAL"	"TRUE"	"YES"
"Siphonaptera fossil - SMNG"	"ac84f53b-04d8-416f-b595-493368a0cea2"	"OCCURRENCE"	"true"	"1"	"0"	"60383ab8-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"c76cf030-2a95-11da-9cc1-b8a03c50a862"	"Senckenberg"	"Germany"	"Germany"	"2014-06-17"	"BIOCASE"	"http://biocase.senckenberg.de/pywrapper.cgi?dsa=SGN"	"2016-07-27"	"NORMAL"	"TRUE"	"YES"
"Paläontologie Marburg"	"1aecc602-8847-4980-b493-bb21bb4aace5"	"OCCURRENCE"	"true"	"4766"	"0"	"60383ab8-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"c76cf030-2a95-11da-9cc1-b8a03c50a862"	"Senckenberg"	"Germany"	"Germany"	"2014-06-17"	"BIOCASE"	"http://biocase.senckenberg.de/pywrapper.cgi?dsa=SGN"	"2016-07-27"	"NORMAL"	"TRUE"	"YES"
"Orthoptera - SMNG"	"da36f9fb-ffdc-4d85-9447-578b63e5fe6a"	"OCCURRENCE"	"true"	"34"	"0"	"60383ab8-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"c76cf030-2a95-11da-9cc1-b8a03c50a862"	"Senckenberg"	"Germany"	"Germany"	"2014-06-17"	"BIOCASE"	"http://biocase.senckenberg.de/pywrapper.cgi?dsa=SGN"	"2016-07-27"	"NORMAL"	"TRUE"	"YES"
"Orthoptera - SMF"	"b55a9f01-8a85-4abd-917b-3d4f1fdb26ce"	"OCCURRENCE"	"true"	"1"	"0"	"60383ab8-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"c76cf030-2a95-11da-9cc1-b8a03c50a862"	"Senckenberg"	"Germany"	"Germany"	"2014-06-17"	"BIOCASE"	"http://biocase.senckenberg.de/pywrapper.cgi?dsa=SGN"	"2016-07-27"	"NORMAL"	"TRUE"	"YES"
"Heteroptera - SMNG"	"091e5013-6b6f-4620-bc02-0bc4a3a78950"	"OCCURRENCE"	"true"	"20"	"0"	"60383ab8-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"c76cf030-2a95-11da-9cc1-b8a03c50a862"	"Senckenberg"	"Germany"	"Germany"	"2014-06-17"	"BIOCASE"	"http://biocase.senckenberg.de/pywrapper.cgi?dsa=SGN"	"2016-07-27"	"NORMAL"	"TRUE"	"YES"
"Herbarium Senckenbergianum (FR) - Protista"	"87f38035-820c-444c-afc3-c98f1fdb4438"	"OCCURRENCE"	"true"	"27"	"0"	"60383ab8-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"c76cf030-2a95-11da-9cc1-b8a03c50a862"	"Senckenberg"	"Germany"	"Germany"	"2014-06-17"	"BIOCASE"	"http://biocase.senckenberg.de/pywrapper.cgi?dsa=SGN"	"2016-07-27"	"NORMAL"	"TRUE"	"YES"
"Acari fossil - SMNG"	"87009668-c14f-448e-9833-76c5240eeed0"	"OCCURRENCE"	"true"	"3"	"0"	"60383ab8-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"c76cf030-2a95-11da-9cc1-b8a03c50a862"	"Senckenberg"	"Germany"	"Germany"	"2014-06-17"	"BIOCASE"	"http://biocase.senckenberg.de/pywrapper.cgi?dsa=SGN"	"2016-07-27"	"NORMAL"	"TRUE"	"YES"
