"datasetTitle"	"datasetKey"	"datasetType"	"hasEndpoints"	"numOccurrences"	"numNameUsages"	"installationKey"	"installationType"	"organisationKey"	"organisationTitle"	"participantTitle"	"countryOfParticipant"	"gbifRegistrationDate"	"mostRecentCrawlEndpointType"	"mostRecentCrawlEndpointUri"	"mostRecentCrawlDate"	"mostRecentCrawlStatus"	"potentialFalsePositive?"	"orphaned?"	"numImages"	"online?"
"RAVON (NL) - Fish observations extracted from Hoek (1888) and Hoek (1897)"	"32ab1d81-9131-45e3-ae74-69dd696341ea"	"OCCURRENCE"	"true"	"0"	"0"	"97dfec69-b198-43ba-a8fa-c5edbc04e324"	"IPT_INSTALLATION"	"8629d002-c1cf-4c61-9895-55ca7cd0e149"	"Reptile, Amphibian and Fish Conservation Netherlands (RAVON)"	"Netherlands"	"Netherlands"	"2013-06-06"	"DWC_ARCHIVE"	"http://ipt.nlbif.nl/ipt/archive.do?r=ravon-fish-digitizedreports"	"2017-11-01"	"ABORT"	"FALSE"	"YES"	"0"	"TRUE"
"Freshwater Invasive Species in Europe"	"36ad3207-1190-47ad-868e-b09d6c0aeec2"	"CHECKLIST"	"true"	"0"	"990"	"99732edc-f762-11e1-a439-00145eb45e9a"	"HTTP_INSTALLATION"	"6c4a0bb0-2a4d-11d8-aa2d-b8a03c50a862"	"GBIF-Spain"	"Spain"	"Spain"	"2012-07-10"	"DWC_ARCHIVE"	"http://www.gbif.es/FreshwaterInvasives/data/download/dwcarchive.zip"	"2017-11-01"	"ABORT"	"FALSE"	"YES"	"0"	"TRUE"
"USGS Nonindigenous Aquatic Species database"	"d6cc311c-c5ab-4f23-9a20-10514f9eb9c4"	"OCCURRENCE"	"true"	"256945"	"0"	"37bbc993-59f6-46f5-b22e-dd0b1c480779"	"IPT_INSTALLATION"	"c3ad790a-d426-4ac1-8e32-da61f81f0117"	"United States Geological Survey"	"United States"	"United States"	"2012-06-18"	"DWC_ARCHIVE"	"https://nas.er.usgs.gov/ipt/archive.do?r=nas"	"2017-11-02"	"ABORT"	"FALSE"	"YES"	"0"	"TRUE"
"Sistema de Información de la vegetación Ibérica y Macaronésica"	"d4aa2255-f927-4220-af22-2958298733b7"	"OCCURRENCE"	"true"	"1709819"	"0"	"9970e64a-f762-11e1-a439-00145eb45e9a"	"HTTP_INSTALLATION"	"6c4a0bb0-2a4d-11d8-aa2d-b8a03c50a862"	"GBIF-Spain"	"Spain"	"Spain"	"2012-03-26"	"DWC_ARCHIVE"	"http://www.gbif.es/ficheros/Data_Resource/Sivim/DwCArchive.zip"	"2017-11-01"	"ABORT"	"FALSE"	"YES"	"0"	"TRUE"
"Collection du Musée d'Histoire Naturelle de Nice"	"1c403d2c-5c37-4237-9746-8ed539b9ba15"	"OCCURRENCE"	"true"	"2731"	"0"	"791e3715-7452-4dd0-a906-db21a3852427"	"IPT_INSTALLATION"	"3fed8a70-5eb1-4d47-a580-92ce393a4a3e"	"Muséum d'Histoire Naturelle de Nice"	"France"	"France"	"2011-12-06"	"DWC_ARCHIVE"	"http://www.gbif.fr:8080/ipt/archive.do?r=nice_animaux_marins_et_plantes"	"2017-11-01"	"ABORT"	"FALSE"	"YES"	"2729"	"TRUE"
"Iberian Zygaenidae in Fernández-Rubio, F. 2005. Zygaenidae (Lepidoptera). Fauna Iberica vol 26.Museo Nacional de Ciencias naturales-CSIC. Madrid"	"6bc3be9d-4648-47f6-b5c4-875c4adee47d"	"CHECKLIST"	"true"	"0"	"211"	"99720c5a-f762-11e1-a439-00145eb45e9a"	"HTTP_INSTALLATION"	"6c4a0bb0-2a4d-11d8-aa2d-b8a03c50a862"	"GBIF-Spain"	"Spain"	"Spain"	"2011-09-20"	"DWC_ARCHIVE"	"http://www.gbif.es/ficheros/GNA/Zygaenidae-DwCArchive_Pli.zip"	"2017-11-01"	"ABORT"	"FALSE"	"YES"	"0"	"TRUE"
"Mimosaceae & Papilionaceae Fl. Paisös Catalans"	"4b32768e-33d0-400d-a2f3-d7011e5507fa"	"CHECKLIST"	"true"	"0"	"523"	"99720c5a-f762-11e1-a439-00145eb45e9a"	"HTTP_INSTALLATION"	"6c4a0bb0-2a4d-11d8-aa2d-b8a03c50a862"	"GBIF-Spain"	"Spain"	"Spain"	"2011-09-20"	"DWC_ARCHIVE"	"http://www.gbif.es/ficheros/GNA/Mimosaceae-DwCArchive_Pli.zip"	"2017-11-01"	"ABORT"	"FALSE"	"YES"	"0"	"TRUE"
"Leguminosae in Flora iberica"	"888b4cc1-7342-4d6c-ba5c-c1b29c8d27fd"	"CHECKLIST"	"true"	"0"	"741"	"99720c5a-f762-11e1-a439-00145eb45e9a"	"HTTP_INSTALLATION"	"6c4a0bb0-2a4d-11d8-aa2d-b8a03c50a862"	"GBIF-Spain"	"Spain"	"Spain"	"2011-09-20"	"DWC_ARCHIVE"	"http://www.gbif.es/ficheros/GNA/Leguminosae-DwCArchive_Pli.zip"	"2017-11-01"	"ABORT"	"FALSE"	"YES"	"0"	"TRUE"
"Inventario Nacional Biodiversidad  Especies amenazadas(España)"	"fe51a93b-a7f8-48ec-99c8-7c347716e8d3"	"CHECKLIST"	"true"	"0"	"1356"	"99720c5a-f762-11e1-a439-00145eb45e9a"	"HTTP_INSTALLATION"	"6c4a0bb0-2a4d-11d8-aa2d-b8a03c50a862"	"GBIF-Spain"	"Spain"	"Spain"	"2011-09-20"	"DWC_ARCHIVE"	"http://www.gbif.es/ficheros/GNA/Inventario-DwCArchive_Pli.zip"	"2017-11-01"	"ABORT"	"FALSE"	"YES"	"0"	"TRUE"
"Vernacular names of Iberian fungi in Spain"	"c5725db2-507f-4ec1-96ef-60dccb4de490"	"CHECKLIST"	"true"	"0"	"12872"	"99720c5a-f762-11e1-a439-00145eb45e9a"	"HTTP_INSTALLATION"	"6c4a0bb0-2a4d-11d8-aa2d-b8a03c50a862"	"GBIF-Spain"	"Spain"	"Spain"	"2011-09-20"	"DWC_ARCHIVE"	"http://www.gbif.es/ficheros/GNA/Iberianfungi-DwCArchive_Pli.zip"	"2017-11-01"	"ABORT"	"FALSE"	"YES"	"0"	"TRUE"
"IITA Cameroon Insect"	"a719e79b-d9c6-435b-bade-01b8fff20dc1"	"OCCURRENCE"	"true"	"1229"	"0"	"dcb66639-d9b6-410b-ad16-d4e932cb4ea8"	"IPT_INSTALLATION"	"a4e7734f-58a3-4833-b7bd-20bb470bce0f"	"IRAD Cameroun (Institut de Recherche Agronomique pour le Développement Cameroun)"	"Cameroon"	"Cameroon"	"2011-04-21"	"DWC_ARCHIVE"	"http://ipt-cameroun.gbif.fr/archive.do?r=iita_insect_collection"	"2017-10-30"	"ABORT"	"FALSE"	"YES"	"0"	"TRUE"
"Espèces vasculaires endémiques et orchidées (CITES)"	"912de54b-1fbe-4ef1-a283-9f7329238022"	"OCCURRENCE"	"true"	"3280"	"0"	"dcb66639-d9b6-410b-ad16-d4e932cb4ea8"	"IPT_INSTALLATION"	"24266ce0-38be-11d9-8439-b8a03c50a862"	"Cameroon National Herbarium"	"Cameroon"	"Cameroon"	"2011-04-13"	"DWC_ARCHIVE"	"http://ipt-cameroun.gbif.fr/archive.do?r=ya_endemics_cites"	"2017-10-30"	"ABORT"	"FALSE"	"YES"	"0"	"TRUE"
